Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 5031: Episode: 92, R100:  54.68, MaxR:  142.00, R:  61.00, FPS:  918.0, L100:  0.20, Epsilon:  0.2262
Frame: 5060: Episode: 93, R100:  54.41, MaxR:  142.00, R:  29.00, FPS:  539.9, L100:  0.11, Epsilon:  0.2260
Frame: 5072: Episode: 94, R100:  53.96, MaxR:  142.00, R:  12.00, FPS:  540.9, L100:  0.09, Epsilon:  0.2260
Frame: 5081: Episode: 95, R100:  53.48, MaxR:  142.00, R:  9.00, FPS:  541.4, L100:  0.08, Epsilon:  0.2259
Frame: 5092: Episode: 96, R100:  53.04, MaxR:  142.00, R:  11.00, FPS:  534.0, L100:  0.07, Epsilon:  0.2259
Frame: 5112: Episode: 97, R100:  52.70, MaxR:  142.00, R:  20.00, FPS:  546.8, L100:  0.02, Epsilon:  0.2258
Frame: 5134: Episode: 98, R100:  52.39, MaxR:  142.00, R:  22.00, FPS:  549.5, L100:  0.01, Epsilon:  0.2257
Frame: 5151: Episode: 99, R100:  52.03, MaxR:  142.00, R:  17.00, FPS:  551.8, L100:  0.00, Epsilon:  0.2256
Frame: 5163: Episode: 100, R100:  51.63, MaxR:  142.00, R:  12.00, FPS:  503.5, L100:  0.00, Epsilon:  0.2256
Frame: 5173: Episode: 101, R100:  51.09, MaxR:  142.00, R:  10.00, FPS:  525.2, L100:  0.00, Epsilon:  0.2255
Frame: 5181: Episode: 102, R100:  50.45, MaxR:  142.00, R:  8.00, FPS:  531.9, L100:  0.00, Epsilon:  0.2255
Frame: 5197: Episode: 103, R100:  50.25, MaxR:  142.00, R:  16.00, FPS:  546.5, L100:  0.00, Epsilon:  0.2254
Frame: 5206: Episode: 104, R100:  49.75, MaxR:  142.00, R:  9.00, FPS:  527.6, L100:  0.00, Epsilon:  0.2254
Frame: 5216: Episode: 105, R100:  49.00, MaxR:  142.00, R:  10.00, FPS:  533.2, L100:  0.00, Epsilon:  0.2253
Frame: 5225: Episode: 106, R100:  48.67, MaxR:  142.00, R:  9.00, FPS:  534.9, L100:  0.01, Epsilon:  0.2253
Frame: 5238: Episode: 107, R100:  48.32, MaxR:  142.00, R:  13.00, FPS:  541.5, L100:  0.01, Epsilon:  0.2252
Frame: 5247: Episode: 108, R100:  47.85, MaxR:  142.00, R:  9.00, FPS:  542.5, L100:  0.01, Epsilon:  0.2252
Frame: 5255: Episode: 109, R100:  47.50, MaxR:  142.00, R:  8.00, FPS:  536.0, L100:  0.01, Epsilon:  0.2252
Frame: 5266: Episode: 110, R100:  47.33, MaxR:  142.00, R:  11.00, FPS:  532.7, L100:  0.01, Epsilon:  0.2251
Frame: 5287: Episode: 111, R100:  47.09, MaxR:  142.00, R:  21.00, FPS:  540.8, L100:  0.01, Epsilon:  0.2250
Frame: 5300: Episode: 112, R100:  46.70, MaxR:  142.00, R:  13.00, FPS:  547.9, L100:  0.01, Epsilon:  0.2250
Frame: 5310: Episode: 113, R100:  46.47, MaxR:  142.00, R:  10.00, FPS:  541.1, L100:  0.01, Epsilon:  0.2249
Frame: 5319: Episode: 114, R100:  46.01, MaxR:  142.00, R:  9.00, FPS:  548.8, L100:  0.01, Epsilon:  0.2249
Frame: 5333: Episode: 115, R100:  45.76, MaxR:  142.00, R:  14.00, FPS:  540.8, L100:  0.01, Epsilon:  0.2248
Frame: 5344: Episode: 116, R100:  45.45, MaxR:  142.00, R:  11.00, FPS:  545.5, L100:  0.01, Epsilon:  0.2248
Frame: 5355: Episode: 117, R100:  45.18, MaxR:  142.00, R:  11.00, FPS:  546.2, L100:  0.01, Epsilon:  0.2247
Frame: 5374: Episode: 118, R100:  44.85, MaxR:  142.00, R:  19.00, FPS:  544.1, L100:  0.01, Epsilon:  0.2246
Frame: 5386: Episode: 119, R100:  44.57, MaxR:  142.00, R:  12.00, FPS:  534.9, L100:  0.01, Epsilon:  0.2246
Frame: 5408: Episode: 120, R100:  44.48, MaxR:  142.00, R:  22.00, FPS:  546.6, L100:  0.01, Epsilon:  0.2245
