Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 5054: Episode: 94, R100:  53.77, MaxR:  128.00, R:  53.00, FPS:  535.0, L100:  0.77, Epsilon:  0.2261
Frame: 5101: Episode: 95, R100:  53.69, MaxR:  128.00, R:  47.00, FPS:  540.9, L100:  0.50, Epsilon:  0.2258
Frame: 5129: Episode: 96, R100:  53.43, MaxR:  128.00, R:  28.00, FPS:  548.9, L100:  0.24, Epsilon:  0.2257
Frame: 5154: Episode: 97, R100:  53.13, MaxR:  128.00, R:  25.00, FPS:  554.8, L100:  0.12, Epsilon:  0.2256
Frame: 5175: Episode: 98, R100:  52.81, MaxR:  128.00, R:  21.00, FPS:  538.5, L100:  0.06, Epsilon:  0.2255
Frame: 5199: Episode: 99, R100:  52.52, MaxR:  128.00, R:  24.00, FPS:  545.3, L100:  0.03, Epsilon:  0.2254
Frame: 5219: Episode: 100, R100:  52.19, MaxR:  128.00, R:  20.00, FPS:  532.5, L100:  0.02, Epsilon:  0.2253
Frame: 5240: Episode: 101, R100:  51.76, MaxR:  128.00, R:  21.00, FPS:  542.8, L100:  0.02, Epsilon:  0.2252
Frame: 5264: Episode: 102, R100:  51.21, MaxR:  128.00, R:  24.00, FPS:  538.0, L100:  0.02, Epsilon:  0.2251
Frame: 5280: Episode: 103, R100:  50.79, MaxR:  128.00, R:  16.00, FPS:  538.5, L100:  0.02, Epsilon:  0.2250
Frame: 5292: Episode: 104, R100:  50.46, MaxR:  128.00, R:  12.00, FPS:  545.2, L100:  0.02, Epsilon:  0.2250
Frame: 5303: Episode: 105, R100:  49.78, MaxR:  128.00, R:  11.00, FPS:  541.5, L100:  0.02, Epsilon:  0.2249
Frame: 5317: Episode: 106, R100:  49.50, MaxR:  128.00, R:  14.00, FPS:  549.4, L100:  0.01, Epsilon:  0.2249
Frame: 5329: Episode: 107, R100:  48.68, MaxR:  128.00, R:  12.00, FPS:  544.2, L100:  0.02, Epsilon:  0.2248
Frame: 5344: Episode: 108, R100:  48.42, MaxR:  128.00, R:  15.00, FPS:  544.1, L100:  0.02, Epsilon:  0.2248
Frame: 5354: Episode: 109, R100:  48.06, MaxR:  128.00, R:  10.00, FPS:  545.8, L100:  0.02, Epsilon:  0.2247
Frame: 5368: Episode: 110, R100:  47.62, MaxR:  128.00, R:  14.00, FPS:  541.8, L100:  0.02, Epsilon:  0.2247
Frame: 5380: Episode: 111, R100:  47.27, MaxR:  128.00, R:  12.00, FPS:  543.3, L100:  0.02, Epsilon:  0.2246
Frame: 5391: Episode: 112, R100:  46.99, MaxR:  128.00, R:  11.00, FPS:  551.9, L100:  0.02, Epsilon:  0.2245
Frame: 5401: Episode: 113, R100:  46.76, MaxR:  128.00, R:  10.00, FPS:  531.6, L100:  0.02, Epsilon:  0.2245
Frame: 5414: Episode: 114, R100:  46.37, MaxR:  128.00, R:  13.00, FPS:  535.6, L100:  0.02, Epsilon:  0.2244
Frame: 5426: Episode: 115, R100:  45.99, MaxR:  128.00, R:  12.00, FPS:  542.5, L100:  0.02, Epsilon:  0.2244
Frame: 5438: Episode: 116, R100:  45.73, MaxR:  128.00, R:  12.00, FPS:  554.1, L100:  0.02, Epsilon:  0.2243
Frame: 5449: Episode: 117, R100:  45.40, MaxR:  128.00, R:  11.00, FPS:  546.8, L100:  0.02, Epsilon:  0.2243
Frame: 5459: Episode: 118, R100:  45.03, MaxR:  128.00, R:  10.00, FPS:  533.9, L100:  0.02, Epsilon:  0.2242
Frame: 5468: Episode: 119, R100:  44.46, MaxR:  128.00, R:  9.00, FPS:  544.9, L100:  0.02, Epsilon:  0.2242
Frame: 5478: Episode: 120, R100:  44.18, MaxR:  128.00, R:  10.00, FPS:  533.9, L100:  0.02, Epsilon:  0.2242
Frame: 5489: Episode: 121, R100:  43.51, MaxR:  128.00, R:  11.00, FPS:  534.5, L100:  0.03, Epsilon:  0.2241
Frame: 5504: Episode: 122, R100:  43.09, MaxR:  128.00, R:  15.00, FPS:  545.9, L100:  0.03, Epsilon:  0.2240
Frame: 5514: Episode: 123, R100:  42.75, MaxR:  128.00, R:  10.00, FPS:  534.3, L100:  0.03, Epsilon:  0.2240
Frame: 5523: Episode: 124, R100:  41.61, MaxR:  128.00, R:  9.00, FPS:  551.2, L100:  0.03, Epsilon:  0.2240
Frame: 5535: Episode: 125, R100:  41.23, MaxR:  128.00, R:  12.00, FPS:  533.5, L100:  0.03, Epsilon:  0.2239
Frame: 5546: Episode: 126, R100:  40.91, MaxR:  128.00, R:  11.00, FPS:  540.7, L100:  0.03, Epsilon:  0.2239
Frame: 5558: Episode: 127, R100:  40.44, MaxR:  128.00, R:  12.00, FPS:  541.5, L100:  0.03, Epsilon:  0.2238
Frame: 5571: Episode: 128, R100:  39.84, MaxR:  128.00, R:  13.00, FPS:  538.5, L100:  0.03, Epsilon:  0.2237
Frame: 5583: Episode: 129, R100:  39.49, MaxR:  128.00, R:  12.00, FPS:  537.7, L100:  0.03, Epsilon:  0.2237
Frame: 5598: Episode: 130, R100:  39.18, MaxR:  128.00, R:  15.00, FPS:  538.6, L100:  0.03, Epsilon:  0.2236
Frame: 5607: Episode: 131, R100:  39.04, MaxR:  128.00, R:  9.00, FPS:  535.6, L100:  0.03, Epsilon:  0.2236
Frame: 5618: Episode: 132, R100:  38.61, MaxR:  128.00, R:  11.00, FPS:  541.4, L100:  0.03, Epsilon:  0.2235
Frame: 5629: Episode: 133, R100:  37.75, MaxR:  128.00, R:  11.00, FPS:  547.0, L100:  0.04, Epsilon:  0.2235
Frame: 5638: Episode: 134, R100:  37.37, MaxR:  128.00, R:  9.00, FPS:  536.6, L100:  0.04, Epsilon:  0.2234
Frame: 5650: Episode: 135, R100:  37.15, MaxR:  128.00, R:  12.00, FPS:  553.3, L100:  0.04, Epsilon:  0.2234
Frame: 5661: Episode: 136, R100:  36.89, MaxR:  128.00, R:  11.00, FPS:  544.0, L100:  0.04, Epsilon:  0.2233
Frame: 5671: Episode: 137, R100:  36.46, MaxR:  128.00, R:  10.00, FPS:  549.9, L100:  0.05, Epsilon:  0.2233
Frame: 5681: Episode: 138, R100:  35.92, MaxR:  128.00, R:  10.00, FPS:  536.5, L100:  0.05, Epsilon:  0.2233
Frame: 5693: Episode: 139, R100:  35.59, MaxR:  128.00, R:  12.00, FPS:  544.5, L100:  0.05, Epsilon:  0.2232
Frame: 5702: Episode: 140, R100:  34.89, MaxR:  128.00, R:  9.00, FPS:  561.6, L100:  0.05, Epsilon:  0.2232
Frame: 5714: Episode: 141, R100:  34.54, MaxR:  128.00, R:  12.00, FPS:  545.0, L100:  0.05, Epsilon:  0.2231
Frame: 5722: Episode: 142, R100:  34.21, MaxR:  128.00, R:  8.00, FPS:  529.0, L100:  0.05, Epsilon:  0.2231
Frame: 5734: Episode: 143, R100:  33.98, MaxR:  128.00, R:  12.00, FPS:  555.0, L100:  0.05, Epsilon:  0.2230
Frame: 5745: Episode: 144, R100:  33.03, MaxR:  128.00, R:  11.00, FPS:  551.4, L100:  0.05, Epsilon:  0.2230
Frame: 5753: Episode: 145, R100:  32.66, MaxR:  128.00, R:  8.00, FPS:  525.7, L100:  0.05, Epsilon:  0.2229
Frame: 5765: Episode: 146, R100:  32.31, MaxR:  128.00, R:  12.00, FPS:  524.8, L100:  0.06, Epsilon:  0.2229
Frame: 5779: Episode: 147, R100:  31.97, MaxR:  128.00, R:  14.00, FPS:  553.0, L100:  0.06, Epsilon:  0.2228
Frame: 5790: Episode: 148, R100:  31.62, MaxR:  128.00, R:  11.00, FPS:  536.3, L100:  0.06, Epsilon:  0.2228
Frame: 5803: Episode: 149, R100:  31.33, MaxR:  128.00, R:  13.00, FPS:  543.9, L100:  0.07, Epsilon:  0.2227
Frame: 5816: Episode: 150, R100:  30.97, MaxR:  128.00, R:  13.00, FPS:  548.7, L100:  0.07, Epsilon:  0.2227
Frame: 5827: Episode: 151, R100:  30.65, MaxR:  128.00, R:  11.00, FPS:  553.1, L100:  0.07, Epsilon:  0.2226
Frame: 5839: Episode: 152, R100:  30.34, MaxR:  128.00, R:  12.00, FPS:  545.6, L100:  0.07, Epsilon:  0.2226
Frame: 5852: Episode: 153, R100:  30.10, MaxR:  128.00, R:  13.00, FPS:  550.2, L100:  0.08, Epsilon:  0.2225
Frame: 5868: Episode: 154, R100:  29.78, MaxR:  128.00, R:  16.00, FPS:  551.9, L100:  0.08, Epsilon:  0.2224
Frame: 5879: Episode: 155, R100:  28.61, MaxR:  128.00, R:  11.00, FPS:  545.0, L100:  0.08, Epsilon:  0.2224
Frame: 5891: Episode: 156, R100:  28.11, MaxR:  128.00, R:  12.00, FPS:  537.0, L100:  0.08, Epsilon:  0.2223
Frame: 5901: Episode: 157, R100:  27.78, MaxR:  128.00, R:  10.00, FPS:  543.3, L100:  0.08, Epsilon:  0.2223
Frame: 5911: Episode: 158, R100:  27.38, MaxR:  128.00, R:  10.00, FPS:  531.8, L100:  0.08, Epsilon:  0.2222
Frame: 5921: Episode: 159, R100:  26.97, MaxR:  128.00, R:  10.00, FPS:  533.3, L100:  0.08, Epsilon:  0.2222
Frame: 5931: Episode: 160, R100:  26.27, MaxR:  128.00, R:  10.00, FPS:  538.6, L100:  0.09, Epsilon:  0.2221
Frame: 5941: Episode: 161, R100:  25.76, MaxR:  128.00, R:  10.00, FPS:  540.5, L100:  0.09, Epsilon:  0.2221
Frame: 5949: Episode: 162, R100:  24.99, MaxR:  128.00, R:  8.00, FPS:  541.3, L100:  0.09, Epsilon:  0.2221
Frame: 5957: Episode: 163, R100:  24.35, MaxR:  128.00, R:  8.00, FPS:  549.6, L100:  0.09, Epsilon:  0.2220
Frame: 5965: Episode: 164, R100:  23.91, MaxR:  128.00, R:  8.00, FPS:  526.8, L100:  0.09, Epsilon:  0.2220
Frame: 5975: Episode: 165, R100:  23.54, MaxR:  128.00, R:  10.00, FPS:  539.7, L100:  0.09, Epsilon:  0.2220
Frame: 5985: Episode: 166, R100:  23.24, MaxR:  128.00, R:  10.00, FPS:  534.1, L100:  0.09, Epsilon:  0.2219
Frame: 5995: Episode: 167, R100:  22.96, MaxR:  128.00, R:  10.00, FPS:  536.5, L100:  0.10, Epsilon:  0.2219
Frame: 6009: Episode: 168, R100:  22.72, MaxR:  128.00, R:  14.00, FPS:  545.7, L100:  0.10, Epsilon:  0.2218
Frame: 6018: Episode: 169, R100:  22.43, MaxR:  128.00, R:  9.00, FPS:  539.4, L100:  0.10, Epsilon:  0.2218
Frame: 6027: Episode: 170, R100:  22.16, MaxR:  128.00, R:  9.00, FPS:  534.2, L100:  0.10, Epsilon:  0.2217
Frame: 6037: Episode: 171, R100:  21.34, MaxR:  128.00, R:  10.00, FPS:  546.8, L100:  0.11, Epsilon:  0.2217
