Training on CPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 5023: Episode: 97, R100:  51.78, MaxR:  119.00, R:  75.00, FPS:  1179.6, L100:  0.82, Epsilon:  0.2262
Frame: 5079: Episode: 98, R100:  51.83, MaxR:  119.00, R:  56.00, FPS:  867.3, L100:  0.45, Epsilon:  0.2259
Frame: 5125: Episode: 99, R100:  51.77, MaxR:  119.00, R:  46.00, FPS:  874.4, L100:  0.17, Epsilon:  0.2257
Frame: 5148: Episode: 100, R100:  51.48, MaxR:  119.00, R:  23.00, FPS:  883.6, L100:  0.08, Epsilon:  0.2256
Frame: 5179: Episode: 101, R100:  51.13, MaxR:  119.00, R:  31.00, FPS:  875.4, L100:  0.03, Epsilon:  0.2255
Frame: 5200: Episode: 102, R100:  50.83, MaxR:  119.00, R:  21.00, FPS:  875.3, L100:  0.02, Epsilon:  0.2254
Frame: 5220: Episode: 103, R100:  50.72, MaxR:  119.00, R:  20.00, FPS:  866.0, L100:  0.01, Epsilon:  0.2253
Frame: 5244: Episode: 104, R100:  50.63, MaxR:  119.00, R:  24.00, FPS:  869.4, L100:  0.01, Epsilon:  0.2252
Frame: 5263: Episode: 105, R100:  50.38, MaxR:  119.00, R:  19.00, FPS:  871.5, L100:  0.01, Epsilon:  0.2251
Frame: 5283: Episode: 106, R100:  49.98, MaxR:  119.00, R:  20.00, FPS:  870.2, L100:  0.01, Epsilon:  0.2250
Frame: 5292: Episode: 107, R100:  49.32, MaxR:  119.00, R:  9.00, FPS:  870.4, L100:  0.01, Epsilon:  0.2250
Frame: 5308: Episode: 108, R100:  48.84, MaxR:  119.00, R:  16.00, FPS:  872.7, L100:  0.01, Epsilon:  0.2249
Frame: 5318: Episode: 109, R100:  48.05, MaxR:  119.00, R:  10.00, FPS:  890.4, L100:  0.01, Epsilon:  0.2249
Frame: 5328: Episode: 110, R100:  47.66, MaxR:  119.00, R:  10.00, FPS:  853.5, L100:  0.01, Epsilon:  0.2248
Frame: 5345: Episode: 111, R100:  47.47, MaxR:  119.00, R:  17.00, FPS:  872.9, L100:  0.00, Epsilon:  0.2248
Frame: 5354: Episode: 112, R100:  47.18, MaxR:  119.00, R:  9.00, FPS:  881.0, L100:  0.00, Epsilon:  0.2247
Frame: 5367: Episode: 113, R100:  46.79, MaxR:  119.00, R:  13.00, FPS:  869.4, L100:  0.00, Epsilon:  0.2247
Frame: 5382: Episode: 114, R100:  46.55, MaxR:  119.00, R:  15.00, FPS:  877.0, L100:  0.00, Epsilon:  0.2246
Frame: 5402: Episode: 115, R100:  46.29, MaxR:  119.00, R:  20.00, FPS:  875.5, L100:  0.00, Epsilon:  0.2245
Frame: 5417: Episode: 116, R100:  45.64, MaxR:  119.00, R:  15.00, FPS:  872.1, L100:  0.00, Epsilon:  0.2244
Frame: 5426: Episode: 117, R100:  45.16, MaxR:  119.00, R:  9.00, FPS:  865.6, L100:  0.00, Epsilon:  0.2244
Frame: 5436: Episode: 118, R100:  44.89, MaxR:  119.00, R:  10.00, FPS:  881.5, L100:  0.00, Epsilon:  0.2243
Frame: 5446: Episode: 119, R100:  44.56, MaxR:  119.00, R:  10.00, FPS:  876.0, L100:  0.00, Epsilon:  0.2243
Frame: 5457: Episode: 120, R100:  44.31, MaxR:  119.00, R:  11.00, FPS:  863.8, L100:  0.00, Epsilon:  0.2243
Frame: 5467: Episode: 121, R100:  43.57, MaxR:  119.00, R:  10.00, FPS:  877.2, L100:  0.00, Epsilon:  0.2242
Frame: 5476: Episode: 122, R100:  43.19, MaxR:  119.00, R:  9.00, FPS:  863.9, L100:  0.00, Epsilon:  0.2242
Frame: 5486: Episode: 123, R100:  42.92, MaxR:  119.00, R:  10.00, FPS:  863.6, L100:  0.00, Epsilon:  0.2241
Frame: 5499: Episode: 124, R100:  42.51, MaxR:  119.00, R:  13.00, FPS:  872.6, L100:  0.00, Epsilon:  0.2241
Frame: 5510: Episode: 125, R100:  42.11, MaxR:  119.00, R:  11.00, FPS:  860.2, L100:  0.00, Epsilon:  0.2240
Frame: 5520: Episode: 126, R100:  41.87, MaxR:  119.00, R:  10.00, FPS:  868.0, L100:  0.00, Epsilon:  0.2240
Frame: 5530: Episode: 127, R100:  41.64, MaxR:  119.00, R:  10.00, FPS:  862.2, L100:  0.00, Epsilon:  0.2239
Frame: 5540: Episode: 128, R100:  41.18, MaxR:  119.00, R:  10.00, FPS:  868.6, L100:  0.00, Epsilon:  0.2239
Frame: 5551: Episode: 129, R100:  40.98, MaxR:  119.00, R:  11.00, FPS:  874.8, L100:  0.00, Epsilon:  0.2238
Frame: 5560: Episode: 130, R100:  40.32, MaxR:  119.00, R:  9.00, FPS:  863.9, L100:  0.00, Epsilon:  0.2238
Frame: 5571: Episode: 131, R100:  40.24, MaxR:  119.00, R:  11.00, FPS:  864.0, L100:  0.00, Epsilon:  0.2237
Frame: 5582: Episode: 132, R100:  39.95, MaxR:  119.00, R:  11.00, FPS:  871.8, L100:  0.00, Epsilon:  0.2237
Frame: 5596: Episode: 133, R100:  39.77, MaxR:  119.00, R:  14.00, FPS:  869.9, L100:  0.00, Epsilon:  0.2236
Frame: 5607: Episode: 134, R100:  39.28, MaxR:  119.00, R:  11.00, FPS:  854.3, L100:  0.00, Epsilon:  0.2236
Frame: 5618: Episode: 135, R100:  38.85, MaxR:  119.00, R:  11.00, FPS:  860.6, L100:  0.00, Epsilon:  0.2235
Frame: 5628: Episode: 136, R100:  38.04, MaxR:  119.00, R:  10.00, FPS:  865.9, L100:  0.00, Epsilon:  0.2235
Frame: 5637: Episode: 137, R100:  37.71, MaxR:  119.00, R:  9.00, FPS:  863.7, L100:  0.00, Epsilon:  0.2235
Frame: 5646: Episode: 138, R100:  37.15, MaxR:  119.00, R:  9.00, FPS:  891.9, L100:  0.00, Epsilon:  0.2234
Frame: 5657: Episode: 139, R100:  36.81, MaxR:  119.00, R:  11.00, FPS:  878.9, L100:  0.00, Epsilon:  0.2234
Frame: 5666: Episode: 140, R100:  36.23, MaxR:  119.00, R:  9.00, FPS:  872.4, L100:  0.00, Epsilon:  0.2233
Frame: 5676: Episode: 141, R100:  35.83, MaxR:  119.00, R:  10.00, FPS:  862.4, L100:  0.00, Epsilon:  0.2233
Frame: 5689: Episode: 142, R100:  35.61, MaxR:  119.00, R:  13.00, FPS:  883.1, L100:  0.00, Epsilon:  0.2232
