Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 10037: Episode: 230, R100:  54.19, MaxR:  106.00, R:  48.00, FPS:  467.9, L100:  0.63, Epsilon:  0.1430
Frame: 10079: Episode: 231, R100:  54.12, MaxR:  106.00, R:  42.00, FPS:  501.0, L100:  0.33, Epsilon:  0.1419
Frame: 10094: Episode: 232, R100:  53.85, MaxR:  106.00, R:  15.00, FPS:  508.4, L100:  0.28, Epsilon:  0.1415
Frame: 10111: Episode: 233, R100:  53.76, MaxR:  106.00, R:  17.00, FPS:  504.7, L100:  0.15, Epsilon:  0.1410
Frame: 10130: Episode: 234, R100:  53.63, MaxR:  106.00, R:  19.00, FPS:  501.5, L100:  0.06, Epsilon:  0.1405
Frame: 10145: Episode: 235, R100:  53.14, MaxR:  106.00, R:  15.00, FPS:  510.7, L100:  0.03, Epsilon:  0.1402
Frame: 10155: Episode: 236, R100:  52.81, MaxR:  106.00, R:  10.00, FPS:  505.0, L100:  0.02, Epsilon:  0.1399
Frame: 10165: Episode: 237, R100:  52.01, MaxR:  106.00, R:  10.00, FPS:  500.1, L100:  0.02, Epsilon:  0.1396
Frame: 10175: Episode: 238, R100:  51.74, MaxR:  106.00, R:  10.00, FPS:  504.1, L100:  0.02, Epsilon:  0.1394
Frame: 10184: Episode: 239, R100:  51.40, MaxR:  106.00, R:  9.00, FPS:  504.0, L100:  0.02, Epsilon:  0.1391
Frame: 10194: Episode: 240, R100:  51.24, MaxR:  106.00, R:  10.00, FPS:  500.9, L100:  0.01, Epsilon:  0.1389
Frame: 10206: Episode: 241, R100:  50.91, MaxR:  106.00, R:  12.00, FPS:  505.3, L100:  0.01, Epsilon:  0.1386
Frame: 10219: Episode: 242, R100:  50.65, MaxR:  106.00, R:  13.00, FPS:  499.1, L100:  0.01, Epsilon:  0.1382
Frame: 10232: Episode: 243, R100:  50.30, MaxR:  106.00, R:  13.00, FPS:  512.1, L100:  0.01, Epsilon:  0.1379
Frame: 10242: Episode: 244, R100:  50.02, MaxR:  106.00, R:  10.00, FPS:  511.1, L100:  0.01, Epsilon:  0.1377
Frame: 10251: Episode: 245, R100:  49.71, MaxR:  106.00, R:  9.00, FPS:  498.9, L100:  0.01, Epsilon:  0.1374
Frame: 10261: Episode: 246, R100:  49.45, MaxR:  106.00, R:  10.00, FPS:  507.9, L100:  0.01, Epsilon:  0.1372
Frame: 10271: Episode: 247, R100:  49.28, MaxR:  106.00, R:  10.00, FPS:  507.2, L100:  0.01, Epsilon:  0.1369
Frame: 10280: Episode: 248, R100:  49.03, MaxR:  106.00, R:  9.00, FPS:  511.9, L100:  0.01, Epsilon:  0.1367
Frame: 10289: Episode: 249, R100:  48.70, MaxR:  106.00, R:  9.00, FPS:  489.8, L100:  0.01, Epsilon:  0.1365
Frame: 10299: Episode: 250, R100:  47.98, MaxR:  106.00, R:  10.00, FPS:  501.2, L100:  0.01, Epsilon:  0.1362
Frame: 10309: Episode: 251, R100:  47.25, MaxR:  106.00, R:  10.00, FPS:  498.1, L100:  0.01, Epsilon:  0.1360
Frame: 10320: Episode: 252, R100:  47.03, MaxR:  106.00, R:  11.00, FPS:  514.4, L100:  0.01, Epsilon:  0.1357
Frame: 10335: Episode: 253, R100:  46.65, MaxR:  106.00, R:  15.00, FPS:  506.6, L100:  0.01, Epsilon:  0.1353
Frame: 10346: Episode: 254, R100:  45.90, MaxR:  106.00, R:  11.00, FPS:  491.4, L100:  0.01, Epsilon:  0.1350
Frame: 10357: Episode: 255, R100:  45.72, MaxR:  106.00, R:  11.00, FPS:  514.0, L100:  0.01, Epsilon:  0.1347
Frame: 10367: Episode: 256, R100:  45.29, MaxR:  106.00, R:  10.00, FPS:  497.4, L100:  0.01, Epsilon:  0.1345
Frame: 10377: Episode: 257, R100:  44.76, MaxR:  106.00, R:  10.00, FPS:  497.6, L100:  0.01, Epsilon:  0.1343
Frame: 10390: Episode: 258, R100:  44.13, MaxR:  106.00, R:  13.00, FPS:  509.7, L100:  0.01, Epsilon:  0.1339
Frame: 10401: Episode: 259, R100:  43.83, MaxR:  106.00, R:  11.00, FPS:  515.4, L100:  0.01, Epsilon:  0.1337
Frame: 10410: Episode: 260, R100:  43.43, MaxR:  106.00, R:  9.00, FPS:  488.1, L100:  0.02, Epsilon:  0.1334
